grade_id,student_id,course_code,grade,letter_grade,semester,exam_date
GRD000055,STU000012,BA101,85.46,B,Fall 2023,2024-12-13
GRD000056,STU000012,BA201,83.97,B,Fall 2024,2025-05-26
GRD000057,STU000012,CS301,57.41,F,Spring 2024,2025-05-12
GRD000058,STU000013,EN201,65.36,D,Spring 2025,2025-03-08
GRD000059,STU000013,CS301,74.97,C,Spring 2024,2025-03-29
GRD000060,STU000013,PH101,84.63,B,Fall 2024,2025-08-31
GRD000061,STU000013,BA101,62.81,D,Fall 2023,2025-02-12
GRD000062,STU000013,CS201,67.22,D,Fall 2024,2024-12-22
GRD000063,STU000013,CS101,53.4,F,Fall 2024,2025-03-21
GRD000064,STU000014,MA101,52.06,F,Fall 2023,2025-03-18
GRD000065,STU000014,MA201,82.19,B,Fall 2023,2025-09-08
GRD000066,STU000014,CS301,90.34,A,Fall 2023,2025-06-14
GRD000067,STU000014,EN101,68.92,D,Fall 2023,2025-04-27
GRD000068,STU000014,BA201,85.05,B,Spring 2024,2025-04-04
GRD000069,STU000015,CS201,75.42,C,Fall 2024,2025-08-10
GRD000070,STU000015,BA201,60.32,D,Fall 2023,2025-10-07
GRD000071,STU000015,CS101,75.42,C,Spring 2025,2024-12-07
GRD000072,STU000015,CS401,93.07,A,Fall 2023,2025-03-01
GRD000073,STU000015,EN201,69.46,D,Spring 2025,2025-08-11
GRD000074,STU000016,BA201,93.47,A,Fall 2024,2025-04-29
GRD000075,STU000016,MA101,30.7,F,Spring 2024,2025-04-14
GRD000076,STU000016,MA201,82.33,B,Fall 2024,2025-05-05
GRD000077,STU000016,EN201,71.31,C,Fall 2024,2025-11-12
GRD000078,STU000016,CS101,65.51,D,Fall 2024,2025-05-26
GRD000079,STU000016,PH101,71.38,C,Fall 2024,2025-06-14
GRD000080,STU000017,EN201,40.19,F,Spring 2025,2025-06-24
GRD000081,STU000017,CS201,66.7,D,Spring 2024,2025-04-15
GRD000082,STU000017,CS401,75.36,C,Spring 2025,2025-09-08
GRD000083,STU000017,EN101,92.17,A,Fall 2023,2025-09-06
GRD000084,STU000017,BA301,62.23,D,Spring 2024,2025-06-16
GRD000085,STU000017,PH101,57.87,F,Spring 2025,2025-02-23
GRD000086,STU000018,CS201,62.47,D,Spring 2025,2024-12-26
GRD000087,STU000018,MA101,83.73,B,Fall 2024,2025-04-20
GRD000088,STU000018,BA301,74.93,C,Spring 2024,2025-02-07
GRD000089,STU000018,PH101,62.05,D,Spring 2025,2024-11-20
GRD000090,STU000018,CS101,77.7,C,Spring 2024,2025-08-08
GRD000091,STU000019,BA301,71.46,C,Fall 2023,2025-06-17
GRD000092,STU000019,BA101,84.53,B,Fall 2024,2025-03-11
GRD000093,STU000019,EN201,59.47,F,Spring 2025,2025-07-27
GRD000094,STU000019,EN101,65.09,D,Fall 2023,2025-11-17
GRD000095,STU000020,BA101,64.12,D,Fall 2024,2025-04-19
GRD000096,STU000020,PH101,48.05,F,Spring 2024,2025-03-12
GRD000097,STU000020,EN101,74.44,C,Spring 2024,2025-11-04
GRD000098,STU000020,CS201,73.92,C,Fall 2023,2025-06-30
GRD000099,STU000021,CS201,70.08,C,Fall 2024,2025-01-01
GRD000100,STU000021,MA101,66.48,D,Spring 2025,2024-11-28
GRD000101,STU000021,BA201,48.77,F,Fall 2023,2025-05-11
GRD000102,STU000021,EN101,63.69,D,Fall 2023,2025-07-09
GRD000103,STU000021,BA301,64.86,D,Spring 2024,2025-01-25
GRD000104,STU000021,EN201,57.97,F,Fall 2023,2025-09-05
GRD000105,STU000022,EN101,67.58,D,Fall 2024,2025-05-18
GRD000106,STU000022,CS301,76.06,C,Spring 2025,2024-12-28
GRD000107,STU000022,BA201,98.29,A,Fall 2024,2025-10-25
GRD000108,STU000022,MA201,72.62,C,Fall 2024,2025-06-22
GRD000109,STU000022,CS101,73.86,C,Fall 2023,2025-02-28
GRD000110,STU000023,MA201,68.88,D,Fall 2024,2025-06-10
GRD000111,STU000023,CS301,41.22,F,Fall 2024,2025-07-03
GRD000112,STU000023,CS201,69.6,D,Fall 2024,2025-09-30
GRD000113,STU000023,PH101,70.9,C,Fall 2024,2025-09-06
GRD000114,STU000024,CS301,100.0,A,Fall 2024,2025-03-15
GRD000115,STU000024,EN201,67.11,D,Spring 2025,2025-05-28
GRD000116,STU000024,BA101,74.52,C,Spring 2024,2025-09-27
GRD000117,STU000025,CS301,69.48,D,Fall 2023,2025-04-19
GRD000118,STU000025,EN201,52.47,F,Spring 2025,2025-10-10
GRD000119,STU000025,CS401,87.14,B,Fall 2023,2025-09-12
GRD000120,STU000025,MA101,81.28,B,Fall 2023,2025-03-18
GRD000121,STU000026,BA101,81.87,B,Spring 2024,2024-11-20
GRD000122,STU000026,BA201,56.36,F,Fall 2024,2025-11-04
GRD000123,STU000026,CS301,91.04,A,Fall 2023,2025-07-28
GRD000124,STU000026,EN101,48.97,F,Spring 2024,2024-11-28
GRD000125,STU000026,MA201,78.8,C,Spring 2024,2024-12-01
GRD000126,STU000027,BA101,100.0,A,Fall 2023,2025-04-15
GRD000127,STU000027,CS301,55.14,F,Fall 2023,2025-10-10
GRD000128,STU000027,CS401,61.51,D,Fall 2023,2025-03-16
GRD000129,STU000027,MA201,71.49,C,Spring 2025,2025-10-28
GRD000130,STU000028,CS201,62.45,D,Spring 2025,2025-09-19
GRD000131,STU000028,CS101,46.74,F,Fall 2024,2025-10-27
GRD000132,STU000028,EN201,71.03,C,Fall 2023,2025-06-17
GRD000133,STU000028,MA201,54.07,F,Fall 2023,2025-09-30
GRD000134,STU000029,MA101,77.1,C,Spring 2024,2025-08-16
GRD000135,STU000029,CS401,56.21,F,Fall 2024,2025-11-04
GRD000136,STU000029,PH101,93.25,A,Fall 2023,2025-09-05
GRD000137,STU000030,MA101,58.25,F,Fall 2023,2025-09-29
GRD000138,STU000030,BA201,65.17,D,Fall 2023,2025-02-21
GRD000139,STU000030,MA201,82.2,B,Spring 2024,2025-08-12
GRD000140,STU000030,CS301,51.54,F,Fall 2024,2025-08-23
GRD000141,STU000030,CS401,73.41,C,Fall 2023,2025-09-29
GRD000142,STU000031,EN201,89.61,B,Spring 2025,2024-12-09
GRD000143,STU000031,EN101,45.89,F,Fall 2023,2025-08-18
GRD000144,STU000031,BA201,72.77,C,Fall 2024,2025-05-08
GRD000145,STU000031,CS301,73.9,C,Spring 2025,2025-08-01
GRD000146,STU000032,BA301,81.73,B,Spring 2025,2025-09-23
GRD000147,STU000032,CS201,51.45,F,Spring 2024,2025-03-10
GRD000148,STU000032,BA201,50.19,F,Fall 2024,2024-11-23
GRD000149,STU000032,MA201,77.83,C,Fall 2024,2025-02-06
GRD000150,STU000033,CS201,74.45,C,Fall 2023,2025-05-05
GRD000151,STU000033,BA201,73.76,C,Fall 2024,2025-03-30
GRD000152,STU000033,EN101,75.2,C,Fall 2024,2024-12-02
GRD000153,STU000034,CS401,59.8,F,Fall 2023,2025-03-20
GRD000154,STU000034,EN201,73.48,C,Fall 2024,2025-08-19
GRD000155,STU000034,BA301,74.4,C,Fall 2023,2024-12-08
GRD000156,STU000034,BA101,59.28,F,Spring 2025,2024-12-09
GRD000157,STU000034,MA101,97.99,A,Fall 2023,2025-04-30
GRD000158,STU000034,CS201,77.11,C,Spring 2025,2025-02-24
GRD000159,STU000035,CS201,52.13,F,Spring 2025,2024-11-28
GRD000160,STU000035,CS301,79.85,C,Fall 2023,2025-08-24
GRD000161,STU000035,BA301,55.38,F,Fall 2023,2025-05-16
GRD000162,STU000036,BA201,81.81,B,Fall 2023,2025-07-22
GRD000163,STU000036,CS401,87.38,B,Spring 2025,2025-03-08
GRD000164,STU000036,MA101,57.69,F,Fall 2024,2024-11-18
GRD000165,STU000036,BA301,84.45,B,Fall 2024,2024-12-24
GRD000166,STU000037,BA201,76.19,C,Fall 2024,2025-09-04
GRD000167,STU000037,EN101,82.33,B,Spring 2025,2025-09-24
GRD000168,STU000037,MA101,98.45,A,Fall 2023,2025-07-13
GRD000169,STU000037,BA301,66.32,D,Spring 2025,2025-03-09
GRD000170,STU000037,MA201,58.69,F,Spring 2024,2025-01-01
GRD000171,STU000037,BA101,56.66,F,Spring 2024,2025-11-03
GRD000172,STU000038,PH101,57.76,F,Spring 2025,2024-12-06
GRD000173,STU000038,CS101,68.84,D,Fall 2023,2025-08-19
GRD000174,STU000038,CS201,75.12,C,Spring 2025,2025-01-13
GRD000175,STU000039,CS301,74.15,C,Spring 2025,2025-03-25
GRD000176,STU000039,BA101,82.41,B,Spring 2024,2025-06-21
GRD000177,STU000039,MA101,70.2,C,Spring 2025,2025-03-12
GRD000178,STU000039,CS201,91.8,A,Fall 2024,2025-02-14
GRD000179,STU000039,EN201,66.03,D,Fall 2024,2025-02-15
GRD000180,STU000040,CS101,100.0,A,Spring 2025,2025-04-02
GRD000181,STU000040,BA301,79.39,C,Fall 2024,2025-05-10
GRD000182,STU000040,CS201,57.14,F,Spring 2025,2025-03-28
GRD000183,STU000041,CS101,53.94,F,Fall 2024,2024-11-22
GRD000184,STU000041,CS301,77.24,C,Spring 2024,2025-03-12
GRD000185,STU000041,EN201,66.65,D,Spring 2025,2025-09-11
GRD000186,STU000042,PH101,80.71,B,Spring 2025,2025-03-20
GRD000187,STU000042,BA301,77.1,C,Spring 2024,2025-03-04
GRD000188,STU000042,EN101,68.91,D,Fall 2023,2025-05-02
GRD000189,STU000042,CS201,57.3,F,Fall 2024,2025-03-10
GRD000190,STU000042,MA101,47.28,F,Spring 2025,2025-01-07
GRD000191,STU000043,BA101,63.3,D,Spring 2024,2025-05-15
GRD000192,STU000043,BA201,82.85,B,Fall 2024,2025-01-24
GRD000193,STU000043,CS101,73.21,C,Fall 2023,2025-01-02
GRD000194,STU000043,MA101,51.31,F,Fall 2024,2025-05-08
GRD000195,STU000043,EN201,72.6,C,Fall 2023,2025-04-13
GRD000196,STU000044,BA201,75.78,C,Spring 2024,2025-07-21
GRD000197,STU000044,BA301,56.74,F,Fall 2024,2025-01-19
GRD000198,STU000044,PH101,72.31,C,Fall 2023,2024-12-01
GRD000199,STU000044,CS101,70.87,C,Fall 2023,2025-06-15
GRD000200,STU000044,CS401,52.86,F,Fall 2023,2025-05-30
GRD000201,STU000045,CS101,75.37,C,Spring 2025,2024-12-17
GRD000202,STU000045,EN201,78.41,C,Spring 2025,2025-02-01
GRD000203,STU000045,BA201,86.25,B,Spring 2025,2025-07-05
GRD000204,STU000045,PH101,85.81,B,Fall 2023,2024-11-27
GRD000205,STU000046,MA101,49.33,F,Fall 2023,2025-03-13
GRD000206,STU000046,CS101,55.93,F,Fall 2023,2024-11-30
GRD000207,STU000046,BA201,77.73,C,Spring 2024,2025-05-30
GRD000208,STU000046,BA301,77.71,C,Spring 2025,2025-03-06
GRD000209,STU000046,EN201,77.73,C,Fall 2024,2025-08-25
GRD000210,STU000046,CS301,100.0,A,Fall 2024,2025-05-16
GRD000211,STU000047,CS401,78.56,C,Fall 2024,2025-10-25
GRD000212,STU000047,EN101,87.03,B,Fall 2024,2025-01-29
GRD000213,STU000047,CS201,84.31,B,Spring 2025,2025-07-26
GRD000214,STU000047,EN201,79.77,C,Fall 2023,2025-01-26
GRD000215,STU000047,PH101,65.27,D,Fall 2023,2025-01-19
GRD000216,STU000047,CS301,81.38,B,Fall 2024,2025-07-02
GRD000217,STU000048,MA101,58.41,F,Spring 2025,2025-08-03
GRD000218,STU000048,EN201,66.45,D,Fall 2024,2025-10-10
GRD000219,STU000048,EN101,62.72,D,Fall 2024,2025-03-05
GRD000220,STU000049,BA301,71.23,C,Spring 2025,2025-04-27
GRD000221,STU000049,MA201,100.0,A,Fall 2024,2025-01-03
GRD000222,STU000049,EN201,41.99,F,Spring 2025,2024-12-10
GRD000223,STU000049,BA201,80.29,B,Spring 2024,2025-11-09
GRD000224,STU000049,CS401,45.81,F,Spring 2024,2025-01-27
GRD000225,STU000050,CS401,62.92,D,Fall 2023,2025-02-24
GRD000226,STU000050,MA201,86.33,B,Spring 2024,2025-05-16
GRD000227,STU000050,EN101,70.96,C,Spring 2025,2025-09-04
GRD000228,STU000050,BA101,53.83,F,Spring 2024,2025-09-02
GRD000229,STU000050,BA301,59.27,F,Fall 2024,2025-04-10
GRD000230,STU000050,EN201,80.19,B,Spring 2025,2025-06-08
GRD000231,STU000051,MA201,59.04,F,Fall 2024,2025-06-25
GRD000232,STU000051,CS401,73.25,C,Spring 2024,2025-07-10
GRD000233,STU000051,BA301,70.68,C,Spring 2024,2025-04-25
GRD000234,STU000052,CS201,60.23,D,Spring 2024,2025-06-13
GRD000235,STU000052,CS301,100.0,A,Spring 2025,2025-03-15
GRD000236,STU000052,CS401,79.51,C,Spring 2025,2025-04-16
GRD000237,STU000052,CS101,39.62,F,Fall 2023,2025-08-07
GRD000238,STU000053,BA101,72.8,C,Fall 2024,2024-12-16
GRD000239,STU000053,CS301,60.07,D,Spring 2024,2024-12-24
GRD000240,STU000053,CS101,82.79,B,Fall 2023,2025-03-15
GRD000241,STU000053,PH101,58.11,F,Fall 2023,2025-10-21
GRD000242,STU000054,BA201,68.28,D,Fall 2023,2025-04-24
GRD000243,STU000054,MA101,77.57,C,Fall 2024,2024-12-10
GRD000244,STU000054,BA101,82.99,B,Fall 2023,2025-04-29
GRD000245,STU000055,CS401,52.0,F,Fall 2023,2025-02-24
GRD000246,STU000055,CS201,64.98,D,Fall 2024,2025-03-09
GRD000247,STU000055,MA101,62.88,D,Fall 2023,2025-07-20
GRD000248,STU000055,EN201,60.2,D,Fall 2023,2025-06-11
GRD000249,STU000056,MA101,96.48,A,Spring 2024,2025-09-25
GRD000250,STU000056,BA301,76.07,C,Spring 2024,2025-08-01
GRD000251,STU000056,CS401,51.09,F,Fall 2024,2025-04-07
GRD000252,STU000056,MA201,83.77,B,Spring 2025,2025-07-11
GRD000253,STU000056,PH101,100.0,A,Fall 2023,2025-03-12
GRD000254,STU000057,PH101,85.49,B,Spring 2025,2024-12-04
GRD000255,STU000057,CS201,47.21,F,Spring 2024,2025-06-29
GRD000256,STU000057,BA201,62.74,D,Spring 2024,2025-05-17
GRD000257,STU000057,EN201,89.0,B,Spring 2025,2025-05-14
GRD000258,STU000057,BA301,59.38,F,Fall 2024,2025-11-08
GRD000259,STU000058,PH101,76.66,C,Spring 2024,2025-07-12
GRD000260,STU000058,MA201,81.62,B,Spring 2025,2025-06-13
GRD000261,STU000058,CS101,56.1,F,Fall 2024,2024-12-03
GRD000262,STU000059,EN201,69.11,D,Spring 2025,2025-11-14
GRD000263,STU000059,CS401,21.38,F,Spring 2025,2025-07-11
GRD000264,STU000059,EN101,54.63,F,Fall 2024,2025-10-03
GRD000265,STU000060,BA101,66.21,D,Fall 2024,2024-12-24
GRD000266,STU000060,CS401,51.28,F,Spring 2025,2025-11-01
GRD000267,STU000060,CS301,94.49,A,Fall 2024,2025-10-08
GRD000268,STU000060,EN101,48.55,F,Spring 2025,2025-03-22
GRD000269,STU000061,BA201,63.4,D,Fall 2023,2025-05-22
GRD000270,STU000061,BA301,71.96,C,Spring 2025,2025-01-14
GRD000271,STU000061,CS201,91.62,A,Fall 2024,2025-03-31
GRD000272,STU000061,CS301,48.46,F,Fall 2023,2025-10-23
GRD000273,STU000061,BA101,87.45,B,Spring 2024,2024-12-31
GRD000274,STU000061,EN101,70.15,C,Spring 2025,2024-12-25
GRD000275,STU000062,CS101,55.28,F,Fall 2024,2025-01-28
GRD000276,STU000062,BA301,76.93,C,Fall 2023,2025-09-23
GRD000277,STU000062,CS401,72.99,C,Spring 2024,2025-07-14
GRD000278,STU000062,BA101,61.0,D,Spring 2024,2025-01-18
GRD000279,STU000063,BA201,71.05,C,Fall 2024,2025-06-27
GRD000280,STU000063,EN101,64.22,D,Spring 2024,2025-10-06
GRD000281,STU000063,MA201,71.7,C,Spring 2025,2025-05-14
GRD000282,STU000063,CS301,79.93,C,Spring 2024,2025-05-01
GRD000283,STU000063,BA101,93.79,A,Spring 2025,2025-01-30
GRD000284,STU000063,CS201,51.43,F,Spring 2024,2025-11-08
GRD000285,STU000064,EN201,100.0,A,Spring 2024,2025-10-04
GRD000286,STU000064,MA201,40.72,F,Spring 2025,2025-08-09
GRD000287,STU000064,MA101,67.72,D,Fall 2024,2024-11-24
GRD000288,STU000065,CS101,78.82,C,Fall 2024,2025-09-03
GRD000289,STU000065,BA301,74.21,C,Fall 2023,2025-05-14
GRD000290,STU000065,MA101,60.66,D,Spring 2024,2025-02-01
GRD000291,STU000065,MA201,66.88,D,Fall 2023,2025-11-11
GRD000292,STU000066,EN101,62.6,D,Spring 2024,2025-08-13
GRD000293,STU000066,MA201,61.16,D,Fall 2024,2025-06-24
GRD000294,STU000066,PH101,82.74,B,Spring 2025,2025-05-07
GRD000295,STU000066,CS201,75.36,C,Spring 2024,2025-04-12
GRD000296,STU000066,CS401,59.61,F,Spring 2024,2025-01-15
GRD000297,STU000066,BA201,83.49,B,Spring 2024,2025-06-27
GRD000298,STU000067,BA301,74.61,C,Fall 2023,2025-06-23
GRD000299,STU000067,CS301,82.19,B,Fall 2024,2025-07-21
GRD000300,STU000067,PH101,79.44,C,Spring 2025,2025-07-14
GRD000301,STU000067,MA201,57.57,F,Fall 2024,2025-01-24
GRD000302,STU000068,CS201,61.6,D,Spring 2025,2024-12-02
GRD000303,STU000068,CS101,81.21,B,Spring 2024,2024-11-18
GRD000304,STU000068,EN101,79.16,C,Spring 2025,2024-11-21
GRD000305,STU000068,CS301,69.69,D,Spring 2025,2025-01-17
GRD000306,STU000068,BA201,71.76,C,Fall 2024,2025-10-12
GRD000307,STU000068,MA101,89.16,B,Fall 2023,2025-02-06
GRD000308,STU000069,CS101,61.13,D,Spring 2025,2025-05-21
GRD000309,STU000069,BA201,78.21,C,Fall 2023,2025-11-16
GRD000310,STU000069,CS401,66.97,D,Fall 2024,2025-03-05
GRD000311,STU000070,BA101,66.73,D,Spring 2024,2025-07-08
GRD000312,STU000070,BA301,86.48,B,Spring 2024,2025-03-06
GRD000313,STU000070,BA201,82.38,B,Spring 2025,2025-05-29
GRD000314,STU000070,CS301,82.2,B,Spring 2025,2025-09-12
GRD000315,STU000070,CS101,89.58,B,Fall 2023,2025-06-09
GRD000316,STU000070,PH101,70.32,C,Spring 2025,2025-09-07
GRD000317,STU000071,CS201,80.23,B,Fall 2024,2025-05-18
GRD000318,STU000071,BA201,65.35,D,Spring 2025,2025-06-27
GRD000319,STU000071,CS101,74.86,C,Fall 2024,2025-01-09
GRD000320,STU000071,CS301,68.05,D,Fall 2024,2025-02-27
GRD000321,STU000071,EN101,71.45,C,Fall 2024,2025-04-09
GRD000322,STU000072,BA201,78.93,C,Spring 2025,2025-10-22
GRD000323,STU000072,EN101,57.73,F,Spring 2024,2025-09-03
GRD000324,STU000072,CS301,100.0,A,Fall 2023,2025-07-24
GRD000325,STU000072,EN201,54.91,F,Spring 2024,2025-10-31
GRD000326,STU000073,BA101,51.79,F,Fall 2023,2025-04-06
GRD000327,STU000073,CS301,87.37,B,Fall 2024,2024-11-20
GRD000328,STU000073,EN101,81.87,B,Spring 2025,2025-03-29
GRD000329,STU000073,BA301,79.36,C,Spring 2025,2025-09-22
GRD000330,STU000073,CS201,79.43,C,Spring 2024,2025-09-16
GRD000331,STU000073,CS401,69.82,D,Fall 2024,2025-10-02
GRD000332,STU000074,BA101,56.54,F,Fall 2024,2025-02-03
GRD000333,STU000074,CS301,71.14,C,Spring 2024,2025-01-24
GRD000334,STU000074,MA201,59.84,F,Fall 2023,2025-02-22
GRD000335,STU000074,EN201,84.63,B,Spring 2024,2025-04-19
GRD000336,STU000075,CS401,67.79,D,Fall 2024,2025-11-05
GRD000337,STU000075,EN101,57.62,F,Fall 2024,2024-12-05
GRD000338,STU000075,CS201,65.18,D,Fall 2023,2025-05-01
GRD000339,STU000076,MA101,76.19,C,Fall 2023,2025-03-28
GRD000340,STU000076,CS201,61.54,D,Spring 2025,2025-03-31
GRD000341,STU000076,BA201,57.67,F,Fall 2024,2025-01-18
GRD000342,STU000076,CS301,73.66,C,Fall 2023,2025-06-03
GRD000343,STU000076,CS101,73.67,C,Fall 2023,2024-12-18
GRD000344,STU000077,BA201,62.4,D,Fall 2024,2025-06-06
GRD000345,STU000077,MA101,62.93,D,Fall 2023,2025-10-13
GRD000346,STU000077,CS301,73.48,C,Spring 2025,2025-10-02
GRD000347,STU000077,CS401,48.28,F,Spring 2025,2025-07-11
GRD000348,STU000077,CS101,48.89,F,Spring 2024,2025-07-19
GRD000349,STU000077,BA301,59.22,F,Spring 2025,2025-10-04
GRD000350,STU000078,CS401,66.8,D,Spring 2025,2025-06-26
GRD000351,STU000078,CS301,74.66,C,Spring 2024,2025-09-18
GRD000352,STU000078,BA301,92.13,A,Fall 2024,2025-03-12
GRD000353,STU000079,PH101,82.86,B,Fall 2023,2025-05-14
GRD000354,STU000079,BA101,67.6,D,Spring 2024,2025-03-13
GRD000355,STU000079,MA101,69.71,D,Spring 2025,2025-05-04
GRD000356,STU000079,CS301,54.96,F,Spring 2025,2025-07-04
GRD000357,STU000079,BA201,69.72,D,Spring 2025,2025-10-03
GRD000358,STU000079,EN101,65.67,D,Spring 2025,2025-05-14
GRD000359,STU000080,BA301,74.84,C,Fall 2023,2025-03-01
GRD000360,STU000080,MA201,57.59,F,Fall 2024,2025-03-26
GRD000361,STU000080,PH101,77.79,C,Spring 2024,2024-12-22
GRD000362,STU000080,CS201,92.99,A,Spring 2024,2025-03-10
GRD000363,STU000081,BA101,68.37,D,Fall 2023,2025-03-19
GRD000364,STU000081,EN101,76.03,C,Fall 2024,2025-09-03
GRD000365,STU000081,BA301,80.35,B,Spring 2024,2024-12-03
GRD000366,STU000082,CS401,63.98,D,Fall 2023,2025-10-26
GRD000367,STU000082,EN201,73.36,C,Fall 2023,2025-03-02
GRD000368,STU000082,BA301,70.19,C,Spring 2025,2025-04-21
GRD000369,STU000082,BA101,71.47,C,Fall 2023,2025-03-26
GRD000370,STU000082,CS101,58.4,F,Fall 2024,2025-05-21
GRD000371,STU000083,MA101,70.37,C,Spring 2025,2025-08-19
GRD000372,STU000083,CS201,77.47,C,Spring 2024,2025-05-01
GRD000373,STU000083,EN201,91.77,A,Fall 2023,2025-10-07
GRD000374,STU000083,CS101,84.39,B,Spring 2025,2024-11-23
GRD000375,STU000083,MA201,100.0,A,Fall 2024,2025-06-11
GRD000376,STU000084,MA201,58.49,F,Spring 2024,2025-08-02
GRD000377,STU000084,EN101,83.08,B,Spring 2024,2025-10-09
GRD000378,STU000084,MA101,72.75,C,Fall 2024,2024-12-09
GRD000379,STU000084,BA101,100.0,A,Fall 2023,2025-04-10
GRD000380,STU000084,BA201,57.88,F,Fall 2023,2025-11-16
GRD000381,STU000084,BA301,57.4,F,Spring 2025,2025-09-20
GRD000382,STU000085,CS301,61.01,D,Spring 2025,2024-11-29
GRD000383,STU000085,MA201,38.14,F,Spring 2025,2024-12-17
GRD000384,STU000085,EN101,62.11,D,Spring 2025,2025-06-16
GRD000385,STU000086,PH101,58.61,F,Spring 2024,2025-09-10
GRD000386,STU000086,MA201,72.26,C,Fall 2023,2025-08-13
GRD000387,STU000086,BA301,75.13,C,Fall 2023,2025-11-10
GRD000388,STU000086,BA101,98.14,A,Spring 2024,2025-11-05
GRD000389,STU000086,CS201,84.26,B,Spring 2024,2025-03-17
GRD000390,STU000087,MA201,61.35,D,Spring 2024,2025-10-05
GRD000391,STU000087,CS401,56.52,F,Fall 2024,2025-03-26
GRD000392,STU000087,BA301,77.38,C,Spring 2024,2025-03-21
GRD000393,STU000087,EN201,50.2,F,Spring 2025,2025-11-07
GRD000394,STU000088,CS301,97.47,A,Spring 2025,2025-03-22
GRD000395,STU000088,PH101,87.69,B,Fall 2023,2025-04-02
GRD000396,STU000088,EN101,62.96,D,Spring 2024,2025-08-07
GRD000397,STU000089,MA101,44.3,F,Fall 2023,2024-12-31
GRD000398,STU000089,BA301,90.31,A,Spring 2025,2025-04-20
