payment_id,student_id,payment_date,amount,payment_method,status,semester
PAY000045,STU000009,2023-12-26,788022,Bank Transfer,Failed,Spring 2025
PAY000046,STU000009,2025-05-03,764286,Cash,Failed,Fall 2023
PAY000047,STU000009,2024-01-06,747325,Credit Card,Completed,Spring 2025
PAY000048,STU000009,2024-11-05,750608,Cash,Completed,Fall 2024
PAY000049,STU000010,2025-01-07,1008402,Bank Transfer,Completed,Spring 2025
PAY000050,STU000010,2024-09-19,1007999,Cash,Completed,Spring 2025
PAY000051,STU000010,2024-09-20,968293,Bank Transfer,Completed,Spring 2024
PAY000052,STU000010,2025-01-12,1012208,Cash,Completed,Spring 2025
PAY000053,STU000010,2025-08-20,950867,Credit Card,Failed,Fall 2024
PAY000054,STU000010,2024-09-20,972923,Credit Card,Failed,Spring 2024
PAY000055,STU000011,2024-10-24,737940,Credit Card,Completed,Fall 2024
PAY000056,STU000011,2024-03-29,739834,Credit Card,Failed,Spring 2025
PAY000057,STU000011,2025-04-03,703517,Bank Transfer,Completed,Fall 2024
PAY000058,STU000011,2025-01-15,783958,Credit Card,Completed,Fall 2024
PAY000059,STU000012,2024-07-03,790156,Mobile Money,Completed,Fall 2023
PAY000060,STU000012,2025-02-08,764625,Bank Transfer,Failed,Fall 2024
PAY000061,STU000012,2024-04-02,762978,Credit Card,Pending,Spring 2025
PAY000062,STU000012,2023-12-09,715674,Cash,Failed,Fall 2023
PAY000063,STU000012,2025-02-26,721344,Bank Transfer,Completed,Fall 2024
PAY000064,STU000012,2024-08-03,790869,Mobile Money,Pending,Spring 2024
PAY000065,STU000012,2025-09-25,735739,Cash,Pending,Fall 2024
PAY000066,STU000013,2025-01-24,1019417,Bank Transfer,Failed,Spring 2024
PAY000067,STU000014,2024-03-15,548648,Mobile Money,Failed,Fall 2024
PAY000068,STU000014,2024-12-30,539780,Cash,Pending,Fall 2024
PAY000069,STU000014,2025-08-12,520047,Cash,Completed,Fall 2023
PAY000070,STU000015,2024-11-02,1013556,Credit Card,Pending,Spring 2024
PAY000071,STU000015,2025-08-06,978557,Mobile Money,Failed,Spring 2024
PAY000072,STU000015,2025-05-10,1023224,Bank Transfer,Pending,Spring 2025
PAY000073,STU000016,2025-07-07,452277,Credit Card,Pending,Fall 2024
PAY000074,STU000016,2023-12-12,497522,Mobile Money,Pending,Fall 2024
PAY000075,STU000017,2025-10-20,1047577,Bank Transfer,Completed,Spring 2024
PAY000076,STU000017,2023-12-09,968659,Mobile Money,Pending,Spring 2024
PAY000077,STU000017,2025-04-18,967067,Bank Transfer,Pending,Fall 2023
PAY000078,STU000018,2024-07-11,549265,Credit Card,Completed,Spring 2024
PAY000079,STU000018,2025-07-31,454298,Bank Transfer,Pending,Fall 2023
PAY000080,STU000019,2025-09-12,489537,Bank Transfer,Completed,Fall 2023
PAY000081,STU000019,2024-03-12,476922,Mobile Money,Completed,Fall 2024
PAY000082,STU000019,2025-10-20,461898,Mobile Money,Failed,Fall 2024
PAY000083,STU000019,2024-04-04,495591,Cash,Completed,Spring 2024
PAY000084,STU000019,2024-06-19,524741,Bank Transfer,Completed,Fall 2023
PAY000085,STU000020,2025-02-03,722514,Bank Transfer,Failed,Fall 2023
PAY000086,STU000020,2025-04-13,766085,Credit Card,Pending,Spring 2024
PAY000087,STU000020,2024-08-25,788280,Bank Transfer,Completed,Fall 2024
PAY000088,STU000020,2024-10-26,755586,Mobile Money,Failed,Spring 2024
PAY000089,STU000021,2025-01-01,466202,Credit Card,Completed,Spring 2024
PAY000090,STU000021,2024-06-29,549912,Cash,Failed,Fall 2024
PAY000091,STU000021,2024-04-27,544651,Bank Transfer,Completed,Fall 2024
PAY000092,STU000021,2024-07-01,465167,Credit Card,Pending,Spring 2025
PAY000093,STU000021,2024-03-14,546491,Cash,Failed,Spring 2025
PAY000094,STU000021,2025-04-01,522602,Credit Card,Pending,Spring 2025
PAY000095,STU000021,2025-05-09,459123,Credit Card,Failed,Fall 2024
PAY000096,STU000022,2023-12-29,514441,Bank Transfer,Pending,Spring 2025
PAY000097,STU000022,2024-06-01,536317,Bank Transfer,Completed,Spring 2024
PAY000098,STU000022,2024-10-10,502510,Bank Transfer,Failed,Spring 2024
PAY000099,STU000023,2025-04-29,994385,Mobile Money,Failed,Spring 2025
PAY000100,STU000023,2025-07-16,980522,Credit Card,Failed,Spring 2025
PAY000101,STU000024,2024-01-29,1002459,Cash,Pending,Spring 2025
PAY000102,STU000024,2024-07-10,1017032,Cash,Completed,Spring 2025
PAY000103,STU000024,2025-07-31,966015,Cash,Pending,Spring 2025
PAY000104,STU000024,2025-03-27,1032361,Mobile Money,Completed,Fall 2023
PAY000105,STU000024,2025-09-25,958942,Credit Card,Failed,Fall 2023
PAY000106,STU000025,2024-03-09,1289024,Cash,Completed,Fall 2024
PAY000107,STU000025,2024-02-21,1281688,Bank Transfer,Completed,Spring 2025
PAY000108,STU000025,2024-07-29,1226467,Cash,Failed,Spring 2025
PAY000109,STU000026,2024-05-12,995038,Bank Transfer,Completed,Spring 2025
PAY000110,STU000026,2025-07-20,1000283,Credit Card,Pending,Spring 2025
PAY000111,STU000026,2024-08-22,1010248,Bank Transfer,Completed,Spring 2024
PAY000112,STU000026,2024-04-27,1036430,Cash,Failed,Spring 2024
PAY000113,STU000026,2024-07-03,1006450,Mobile Money,Pending,Spring 2025
PAY000114,STU000026,2024-07-07,964336,Credit Card,Failed,Spring 2025
PAY000115,STU000026,2024-07-19,1023695,Mobile Money,Failed,Fall 2023
PAY000116,STU000026,2024-10-14,984523,Credit Card,Failed,Spring 2025
PAY000117,STU000027,2024-12-25,958050,Bank Transfer,Failed,Fall 2023
PAY000118,STU000027,2025-07-10,998026,Cash,Failed,Fall 2023
PAY000119,STU000027,2024-02-17,994729,Credit Card,Completed,Spring 2025
PAY000120,STU000027,2024-11-30,996840,Credit Card,Pending,Fall 2023
PAY000121,STU000027,2024-01-11,982011,Mobile Money,Completed,Fall 2024
PAY000122,STU000027,2024-03-22,961133,Bank Transfer,Pending,Fall 2023
PAY000123,STU000028,2025-10-29,770571,Cash,Completed,Spring 2025
PAY000124,STU000028,2024-01-15,755374,Credit Card,Pending,Fall 2023
PAY000125,STU000028,2023-12-07,761564,Bank Transfer,Pending,Spring 2025
PAY000126,STU000028,2024-04-13,751157,Cash,Failed,Fall 2023
PAY000127,STU000028,2024-07-06,713114,Mobile Money,Pending,Spring 2025
PAY000128,STU000028,2024-06-22,787475,Cash,Completed,Fall 2024
PAY000129,STU000029,2025-04-26,1265136,Bank Transfer,Failed,Spring 2024
PAY000130,STU000029,2025-01-28,1234754,Bank Transfer,Pending,Spring 2025
PAY000131,STU000029,2025-04-01,1281863,Bank Transfer,Failed,Fall 2023
PAY000132,STU000029,2024-03-22,1244150,Cash,Completed,Spring 2025
PAY000133,STU000029,2024-09-07,1227490,Cash,Completed,Fall 2024
PAY000134,STU000029,2024-06-20,1239309,Credit Card,Failed,Fall 2024
PAY000135,STU000030,2024-10-03,1232933,Credit Card,Failed,Spring 2024
PAY000136,STU000030,2025-10-30,1282292,Mobile Money,Failed,Spring 2025
PAY000137,STU000030,2025-04-14,1286613,Credit Card,Pending,Spring 2025
PAY000138,STU000030,2024-04-18,1295238,Bank Transfer,Failed,Spring 2024
PAY000139,STU000031,2025-06-20,1231506,Mobile Money,Failed,Fall 2024
PAY000140,STU000031,2024-08-30,1253773,Cash,Completed,Spring 2024
PAY000141,STU000031,2024-09-22,1234987,Cash,Failed,Spring 2024
PAY000142,STU000031,2025-03-01,1290027,Mobile Money,Pending,Spring 2024
PAY000143,STU000031,2025-07-25,1219655,Mobile Money,Completed,Spring 2024
PAY000144,STU000031,2025-01-05,1260838,Credit Card,Failed,Spring 2025
PAY000145,STU000032,2025-04-26,470887,Cash,Completed,Fall 2023
PAY000146,STU000032,2025-02-27,486408,Mobile Money,Failed,Fall 2023
PAY000147,STU000032,2024-07-09,452609,Bank Transfer,Completed,Fall 2024
PAY000148,STU000032,2024-03-12,489056,Bank Transfer,Pending,Fall 2024
PAY000149,STU000032,2024-01-01,536170,Bank Transfer,Pending,Spring 2024
PAY000150,STU000032,2025-03-22,464671,Bank Transfer,Failed,Fall 2024
PAY000151,STU000032,2024-06-28,461829,Mobile Money,Failed,Fall 2023
PAY000152,STU000033,2024-03-30,1046631,Credit Card,Failed,Spring 2024
PAY000153,STU000033,2024-09-11,978574,Mobile Money,Completed,Spring 2024
PAY000154,STU000033,2025-04-13,985985,Credit Card,Pending,Fall 2024
PAY000155,STU000033,2024-03-25,957330,Credit Card,Failed,Fall 2024
PAY000156,STU000033,2023-12-03,964806,Cash,Failed,Spring 2025
PAY000157,STU000033,2024-07-20,1039487,Mobile Money,Pending,Spring 2024
PAY000158,STU000034,2024-11-07,1240392,Bank Transfer,Failed,Fall 2023
PAY000159,STU000034,2024-01-10,1207166,Mobile Money,Pending,Spring 2025
PAY000160,STU000034,2025-01-06,1283748,Cash,Failed,Fall 2023
PAY000161,STU000034,2024-05-20,1230983,Credit Card,Pending,Fall 2023
PAY000162,STU000034,2024-10-12,1233493,Cash,Completed,Spring 2024
PAY000163,STU000034,2025-01-18,1227575,Mobile Money,Pending,Fall 2024
PAY000164,STU000035,2025-02-11,460498,Credit Card,Pending,Spring 2025
PAY000165,STU000035,2024-12-13,544029,Credit Card,Completed,Spring 2024
PAY000166,STU000035,2023-12-04,484205,Bank Transfer,Pending,Spring 2025
PAY000167,STU000035,2024-03-12,545581,Cash,Pending,Fall 2023
PAY000168,STU000035,2025-09-26,534066,Mobile Money,Failed,Spring 2025
PAY000169,STU000035,2024-02-01,467837,Bank Transfer,Pending,Spring 2024
PAY000170,STU000035,2024-02-14,490048,Cash,Failed,Fall 2023
PAY000171,STU000036,2025-03-08,767681,Mobile Money,Failed,Spring 2025
PAY000172,STU000036,2024-12-26,759177,Credit Card,Failed,Spring 2024
PAY000173,STU000037,2023-12-16,777728,Cash,Pending,Spring 2024
PAY000174,STU000037,2025-08-24,754328,Cash,Completed,Spring 2025
PAY000175,STU000037,2024-10-28,774762,Mobile Money,Completed,Fall 2023
PAY000176,STU000037,2024-04-26,784817,Mobile Money,Completed,Spring 2025
PAY000177,STU000037,2025-04-29,734312,Mobile Money,Completed,Spring 2025
PAY000178,STU000038,2025-06-19,961673,Cash,Completed,Fall 2023
PAY000179,STU000038,2025-11-04,1044186,Credit Card,Pending,Spring 2025
PAY000180,STU000038,2025-07-20,979423,Mobile Money,Completed,Fall 2024
PAY000181,STU000038,2025-01-28,1047837,Credit Card,Pending,Spring 2024
PAY000182,STU000038,2024-09-03,977080,Mobile Money,Pending,Spring 2024
PAY000183,STU000038,2024-09-16,973641,Credit Card,Completed,Fall 2023
PAY000184,STU000038,2025-01-25,984314,Mobile Money,Failed,Spring 2025
PAY000185,STU000039,2024-04-01,1039688,Credit Card,Completed,Fall 2023
PAY000186,STU000039,2024-07-26,967459,Cash,Failed,Spring 2025
PAY000187,STU000039,2023-12-16,977815,Credit Card,Failed,Spring 2025
PAY000188,STU000039,2024-03-17,983584,Bank Transfer,Completed,Fall 2023
PAY000189,STU000040,2025-03-23,1011726,Cash,Failed,Fall 2023
PAY000190,STU000041,2024-06-20,1031219,Credit Card,Pending,Spring 2025
PAY000191,STU000042,2024-04-25,705390,Mobile Money,Pending,Spring 2024
PAY000192,STU000042,2024-06-21,764597,Cash,Pending,Spring 2024
PAY000193,STU000042,2025-08-19,741591,Credit Card,Completed,Fall 2024
PAY000194,STU000042,2025-07-22,741060,Bank Transfer,Completed,Spring 2025
PAY000195,STU000042,2025-02-04,798018,Cash,Pending,Fall 2024
PAY000196,STU000042,2025-02-22,780338,Cash,Failed,Fall 2024
PAY000197,STU000043,2024-12-30,796582,Credit Card,Completed,Spring 2025
PAY000198,STU000043,2025-09-25,724762,Mobile Money,Completed,Spring 2024
PAY000199,STU000043,2025-05-15,704700,Credit Card,Pending,Spring 2024
PAY000200,STU000043,2023-11-27,761228,Credit Card,Completed,Spring 2025
PAY000201,STU000043,2025-10-08,757870,Cash,Failed,Spring 2025
PAY000202,STU000043,2024-08-07,764616,Bank Transfer,Failed,Spring 2024
PAY000203,STU000043,2025-07-15,745823,Bank Transfer,Completed,Fall 2024
PAY000204,STU000044,2024-06-16,735755,Mobile Money,Failed,Fall 2023
PAY000205,STU000044,2024-05-29,774814,Mobile Money,Pending,Fall 2023
PAY000206,STU000044,2025-03-11,765288,Bank Transfer,Pending,Fall 2023
PAY000207,STU000045,2024-10-11,498963,Bank Transfer,Pending,Spring 2024
PAY000208,STU000045,2025-10-20,460625,Credit Card,Failed,Spring 2025
PAY000209,STU000045,2024-08-11,532359,Cash,Failed,Fall 2023
PAY000210,STU000045,2024-12-16,455747,Credit Card,Pending,Spring 2024
PAY000211,STU000045,2025-04-16,456380,Cash,Pending,Fall 2023
PAY000212,STU000046,2025-08-16,1252279,Cash,Completed,Spring 2024
PAY000213,STU000046,2024-10-06,1211690,Bank Transfer,Completed,Spring 2024
PAY000214,STU000047,2025-01-31,1284825,Mobile Money,Completed,Fall 2024
PAY000215,STU000047,2024-07-04,1256670,Cash,Failed,Spring 2024
PAY000216,STU000047,2024-11-16,1287231,Bank Transfer,Pending,Spring 2024
PAY000217,STU000047,2024-07-05,1258385,Credit Card,Pending,Fall 2024
PAY000218,STU000047,2024-04-21,1278687,Credit Card,Completed,Spring 2025
PAY000219,STU000047,2024-11-06,1280460,Mobile Money,Pending,Spring 2025
PAY000220,STU000047,2025-08-15,1205300,Cash,Pending,Spring 2024
PAY000221,STU000048,2024-05-28,1282517,Bank Transfer,Pending,Spring 2025
PAY000222,STU000048,2024-08-28,1210378,Credit Card,Pending,Spring 2024
PAY000223,STU000048,2025-07-11,1289694,Cash,Completed,Spring 2025
PAY000224,STU000049,2024-05-03,460031,Bank Transfer,Failed,Fall 2023
PAY000225,STU000049,2024-06-14,505694,Credit Card,Completed,Spring 2025
PAY000226,STU000049,2024-01-12,544412,Cash,Pending,Fall 2024
PAY000227,STU000049,2024-03-29,460717,Bank Transfer,Completed,Spring 2025
PAY000228,STU000049,2025-05-19,473882,Credit Card,Completed,Fall 2023
PAY000229,STU000050,2025-01-01,1026966,Credit Card,Failed,Spring 2025
PAY000230,STU000050,2024-02-19,984743,Cash,Completed,Spring 2024
PAY000231,STU000050,2025-05-13,960252,Cash,Failed,Fall 2023
PAY000232,STU000050,2024-08-31,1020041,Bank Transfer,Completed,Spring 2025
PAY000233,STU000050,2025-07-22,951743,Mobile Money,Failed,Spring 2025
PAY000234,STU000050,2024-08-04,1040676,Credit Card,Failed,Spring 2025
PAY000235,STU000050,2025-01-12,1031067,Cash,Failed,Spring 2025
PAY000236,STU000051,2025-07-13,467709,Bank Transfer,Completed,Fall 2023
PAY000237,STU000051,2025-11-02,541230,Mobile Money,Completed,Spring 2024
PAY000238,STU000051,2024-07-14,535016,Mobile Money,Failed,Spring 2024
PAY000239,STU000051,2024-08-29,532058,Mobile Money,Completed,Fall 2024
PAY000240,STU000051,2024-08-01,469420,Credit Card,Pending,Fall 2023
PAY000241,STU000052,2025-06-15,796833,Credit Card,Pending,Spring 2025
PAY000242,STU000052,2025-10-29,758918,Mobile Money,Completed,Fall 2024
PAY000243,STU000053,2024-12-12,451032,Bank Transfer,Failed,Spring 2025
PAY000244,STU000053,2024-09-19,514972,Cash,Completed,Spring 2025
PAY000245,STU000053,2024-10-05,513714,Credit Card,Completed,Fall 2023
PAY000246,STU000053,2024-05-27,452492,Credit Card,Failed,Fall 2024
PAY000247,STU000053,2024-05-01,458324,Cash,Failed,Spring 2025
PAY000248,STU000053,2024-07-22,465327,Credit Card,Failed,Fall 2024
PAY000249,STU000053,2024-08-16,541424,Credit Card,Completed,Spring 2024
PAY000250,STU000054,2024-07-26,745068,Credit Card,Completed,Spring 2024
PAY000251,STU000054,2024-03-27,789780,Cash,Failed,Spring 2025
PAY000252,STU000054,2025-07-07,738455,Credit Card,Pending,Fall 2024
PAY000253,STU000054,2024-07-23,721237,Mobile Money,Pending,Fall 2023
PAY000254,STU000054,2024-01-05,763293,Mobile Money,Completed,Spring 2024
PAY000255,STU000055,2025-08-07,1254523,Credit Card,Pending,Spring 2024
PAY000256,STU000055,2025-04-18,1272984,Bank Transfer,Completed,Fall 2024
PAY000257,STU000055,2025-02-24,1246798,Mobile Money,Completed,Fall 2023
PAY000258,STU000056,2024-09-04,964938,Mobile Money,Completed,Spring 2024
PAY000259,STU000056,2024-07-08,983793,Cash,Pending,Fall 2023
PAY000260,STU000057,2023-12-13,767552,Bank Transfer,Failed,Fall 2023
PAY000261,STU000057,2024-08-27,759917,Bank Transfer,Completed,Fall 2023
PAY000262,STU000057,2024-04-22,705501,Bank Transfer,Completed,Fall 2023
PAY000263,STU000057,2025-04-22,747400,Mobile Money,Failed,Fall 2024
PAY000264,STU000057,2023-11-24,757870,Credit Card,Failed,Fall 2023
PAY000265,STU000058,2024-12-11,968058,Bank Transfer,Completed,Spring 2025
PAY000266,STU000058,2024-09-19,950863,Mobile Money,Pending,Fall 2024
PAY000267,STU000058,2025-01-29,1016194,Mobile Money,Completed,Fall 2024
PAY000268,STU000059,2024-11-14,1282502,Mobile Money,Completed,Spring 2025
PAY000269,STU000059,2025-03-30,1218087,Credit Card,Pending,Spring 2025
PAY000270,STU000059,2024-08-06,1267653,Cash,Completed,Spring 2025
PAY000271,STU000059,2025-06-22,1201303,Bank Transfer,Completed,Fall 2024
PAY000272,STU000059,2024-12-31,1252645,Mobile Money,Pending,Fall 2023
PAY000273,STU000059,2024-10-12,1299508,Bank Transfer,Failed,Spring 2024
PAY000274,STU000060,2024-09-15,1002691,Cash,Failed,Fall 2024
PAY000275,STU000061,2025-02-05,519178,Mobile Money,Failed,Spring 2025
PAY000276,STU000061,2024-08-19,534394,Mobile Money,Failed,Spring 2025
PAY000277,STU000061,2023-12-05,495252,Credit Card,Completed,Fall 2024
PAY000278,STU000061,2025-08-24,454845,Cash,Pending,Spring 2024
PAY000279,STU000061,2024-06-04,520882,Cash,Completed,Fall 2023
PAY000280,STU000061,2024-06-13,522323,Cash,Failed,Fall 2024
PAY000281,STU000062,2025-10-21,520770,Cash,Completed,Fall 2024
PAY000282,STU000062,2024-09-12,516227,Bank Transfer,Failed,Fall 2023
PAY000283,STU000062,2024-11-02,484046,Cash,Completed,Fall 2023
PAY000284,STU000063,2025-01-17,1275030,Bank Transfer,Pending,Fall 2024
PAY000285,STU000063,2025-03-22,1297748,Mobile Money,Pending,Fall 2024
PAY000286,STU000064,2024-10-28,768113,Mobile Money,Completed,Fall 2024
PAY000287,STU000064,2024-06-08,776332,Mobile Money,Pending,Spring 2025
PAY000288,STU000064,2025-08-10,719209,Credit Card,Pending,Fall 2023
PAY000289,STU000064,2025-08-16,708151,Credit Card,Completed,Spring 2025
PAY000290,STU000064,2025-04-13,758479,Bank Transfer,Pending,Spring 2025
PAY000291,STU000065,2024-03-30,1015382,Credit Card,Pending,Spring 2025
PAY000292,STU000065,2024-09-18,971344,Mobile Money,Failed,Spring 2024
PAY000293,STU000065,2024-07-10,1043211,Credit Card,Completed,Fall 2023
PAY000294,STU000065,2023-12-08,977871,Credit Card,Pending,Fall 2023
PAY000295,STU000065,2025-06-11,1023272,Cash,Completed,Spring 2025
PAY000296,STU000065,2025-07-29,965842,Cash,Failed,Fall 2024
PAY000297,STU000065,2025-10-08,1018521,Mobile Money,Completed,Fall 2024
PAY000298,STU000066,2025-01-12,988532,Credit Card,Completed,Spring 2024
PAY000299,STU000066,2025-06-26,1027283,Credit Card,Completed,Fall 2024
PAY000300,STU000066,2025-02-01,978256,Mobile Money,Failed,Spring 2025
PAY000301,STU000066,2025-11-16,966033,Cash,Completed,Fall 2023
PAY000302,STU000066,2024-09-17,1013068,Cash,Failed,Spring 2025
PAY000303,STU000067,2024-07-20,1294376,Mobile Money,Completed,Spring 2025
PAY000304,STU000067,2024-08-15,1287453,Credit Card,Completed,Fall 2024
PAY000305,STU000067,2025-08-19,1281889,Credit Card,Pending,Spring 2024
PAY000306,STU000067,2024-10-10,1244433,Bank Transfer,Failed,Spring 2025
PAY000307,STU000067,2025-02-07,1284661,Bank Transfer,Completed,Fall 2023
PAY000308,STU000067,2024-04-12,1282589,Cash,Failed,Fall 2023
PAY000309,STU000068,2024-02-24,771019,Bank Transfer,Failed,Spring 2024
PAY000310,STU000068,2024-07-19,765881,Bank Transfer,Completed,Spring 2024
PAY000311,STU000069,2025-04-22,982150,Credit Card,Completed,Fall 2024
PAY000312,STU000070,2024-07-03,453049,Cash,Pending,Spring 2024
PAY000313,STU000070,2024-09-20,453153,Cash,Pending,Fall 2024
PAY000314,STU000070,2025-08-17,465026,Bank Transfer,Failed,Spring 2024
PAY000315,STU000070,2025-01-30,468878,Mobile Money,Pending,Fall 2023
PAY000316,STU000070,2025-06-14,490212,Credit Card,Failed,Spring 2024
PAY000317,STU000070,2025-09-19,530540,Cash,Completed,Fall 2023
PAY000318,STU000070,2023-11-19,457667,Cash,Pending,Fall 2023
PAY000319,STU000071,2024-09-22,742495,Cash,Pending,Fall 2023
PAY000320,STU000071,2025-09-26,726549,Mobile Money,Failed,Spring 2024
PAY000321,STU000071,2024-07-02,766666,Credit Card,Completed,Fall 2024
PAY000322,STU000071,2025-09-17,741724,Credit Card,Failed,Spring 2025
PAY000323,STU000071,2025-09-12,763461,Bank Transfer,Pending,Spring 2024
PAY000324,STU000071,2025-10-30,735279,Bank Transfer,Completed,Spring 2024
PAY000325,STU000072,2024-08-19,1210998,Mobile Money,Completed,Fall 2024
PAY000326,STU000072,2024-05-14,1222044,Mobile Money,Failed,Spring 2025
PAY000327,STU000072,2024-04-29,1259210,Bank Transfer,Completed,Spring 2025
PAY000328,STU000072,2024-02-22,1237912,Mobile Money,Completed,Fall 2023
PAY000329,STU000072,2024-07-13,1235822,Cash,Failed,Spring 2025
PAY000330,STU000073,2024-03-29,766889,Cash,Completed,Spring 2024
PAY000331,STU000073,2024-05-21,773804,Bank Transfer,Pending,Fall 2023
PAY000332,STU000073,2024-10-10,791544,Bank Transfer,Completed,Fall 2024
PAY000333,STU000073,2024-09-02,727636,Cash,Failed,Fall 2024
PAY000334,STU000073,2024-02-07,734257,Credit Card,Pending,Spring 2024
PAY000335,STU000073,2024-01-10,742157,Cash,Completed,Spring 2025
PAY000336,STU000074,2023-12-11,467527,Bank Transfer,Failed,Spring 2025
PAY000337,STU000074,2025-11-14,451255,Mobile Money,Pending,Spring 2025
PAY000338,STU000074,2024-10-12,520533,Bank Transfer,Failed,Fall 2023
PAY000339,STU000074,2024-05-16,454056,Credit Card,Failed,Fall 2023
PAY000340,STU000074,2024-11-22,499332,Cash,Pending,Spring 2024
PAY000341,STU000074,2023-12-06,451105,Bank Transfer,Pending,Fall 2024
PAY000342,STU000075,2025-11-09,1229035,Bank Transfer,Pending,Fall 2024
PAY000343,STU000075,2025-05-06,1211792,Cash,Failed,Spring 2024
PAY000344,STU000075,2025-03-24,1264724,Cash,Completed,Fall 2024
PAY000345,STU000075,2024-07-02,1292280,Mobile Money,Completed,Spring 2024
PAY000346,STU000076,2025-02-07,524593,Credit Card,Completed,Spring 2024
PAY000347,STU000076,2024-01-13,546837,Mobile Money,Completed,Spring 2024
PAY000348,STU000076,2025-09-13,466702,Cash,Failed,Spring 2024
PAY000349,STU000076,2024-06-01,545538,Cash,Completed,Fall 2023
PAY000350,STU000076,2023-12-10,538832,Cash,Failed,Spring 2025
PAY000351,STU000076,2025-11-16,505982,Bank Transfer,Pending,Spring 2025
PAY000352,STU000076,2024-09-28,485918,Bank Transfer,Failed,Spring 2025
PAY000353,STU000077,2024-06-07,1049486,Bank Transfer,Failed,Spring 2024
PAY000354,STU000077,2025-10-01,986429,Credit Card,Failed,Spring 2025
PAY000355,STU000077,2024-12-30,950676,Credit Card,Completed,Fall 2024
PAY000356,STU000077,2025-08-27,1024949,Bank Transfer,Failed,Spring 2024
PAY000357,STU000077,2023-12-13,1005550,Bank Transfer,Completed,Spring 2024
PAY000358,STU000077,2025-06-03,993152,Cash,Completed,Fall 2023
PAY000359,STU000077,2025-10-21,1012910,Credit Card,Completed,Fall 2024
PAY000360,STU000077,2025-03-07,982394,Bank Transfer,Pending,Spring 2024
PAY000361,STU000078,2024-12-12,518114,Mobile Money,Completed,Spring 2025
